file: votematrix-2005.csv covering commons parliament 2005
file created: Sat Feb  9 11:29:53 2013by http://www.publicwhip.org.uk/
657 mps
1288 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
1855	Bill	Etherington	Lab	http://publicwhip.com/mp.php?mpid=1855
1781	Nigel	Evans	Con	http://publicwhip.com/mp.php?mpid=1781
1408	David	Evennett	Con	http://publicwhip.com/mp.php?mpid=1408
1685	Michael	Fabricant	Con	http://publicwhip.com/mp.php?mpid=1685
1808	Michael	Fallon	Con	http://publicwhip.com/mp.php?mpid=1808
1728	Paul	Farrelly	Lab	http://publicwhip.com/mp.php?mpid=1728
1923	Tim	Farron	LDem	http://publicwhip.com/mp.php?mpid=1923
1641	Lynne	Featherstone	LDem	http://publicwhip.com/mp.php?mpid=1641
1410	Frank	Field	Lab	http://publicwhip.com/mp.php?mpid=1410
1503	Mark	Field	Con	http://publicwhip.com/mp.php?mpid=1503
1841	Mark	Fisher	Lab	http://publicwhip.com/mp.php?mpid=1841
1765	Jim	Fitzpatrick	Lab	http://publicwhip.com/mp.php?mpid=1765
1843	Robert	Flello	Lab	http://publicwhip.com/mp.php?mpid=1843
1543	Caroline	Flint	Lab	http://publicwhip.com/mp.php?mpid=1543
1733	Paul	Flynn	Lab	http://publicwhip.com/mp.php?mpid=1733
1837	Barbara	Follett	Lab	http://publicwhip.com/mp.php?mpid=1837
1459	Eric	Forth	Con	http://publicwhip.com/mp.php?mpid=1459
1391	Don	Foster	LDem	http://publicwhip.com/mp.php?mpid=1391
1939	Michael	Foster	Lab	http://publicwhip.com/mp.php?mpid=1939
1622	Michael Jabez	Foster	Lab	http://publicwhip.com/mp.php?mpid=1622
1938	Liam	Fox	Con	http://publicwhip.com/mp.php?mpid=1938
1368	Hywel	Francis	Lab	http://publicwhip.com/mp.php?mpid=1368
1772	Mark	Francois	Con	http://publicwhip.com/mp.php?mpid=1772
1739	Christopher	Fraser	Con	http://publicwhip.com/mp.php?mpid=1739
1873	Roger	Gale	Con	http://publicwhip.com/mp.php?mpid=1873
1405	George	Galloway	Res	http://publicwhip.com/mp.php?mpid=1405
1652	Mike	Gapes	Lab	http://publicwhip.com/mp.php?mpid=1652
1446	Barry	Gardiner	Lab	http://publicwhip.com/mp.php?mpid=1446
1615	Edward	Garnier	Con	http://publicwhip.com/mp.php?mpid=1615
1633	David	Gauke	Con	http://publicwhip.com/mp.php?mpid=1633
1801	Andrew	George	LDem	http://publicwhip.com/mp.php?mpid=1801
1901	Bruce	George	Lab	http://publicwhip.com/mp.php?mpid=1901
1902	Neil	Gerrard	Lab	http://publicwhip.com/mp.php?mpid=1902
1429	Nick	Gibb	Con	http://publicwhip.com/mp.php?mpid=1429
1744	Ian	Gibson	Lab	http://publicwhip.com/mp.php?mpid=1744
1787	Sandra	Gidley	LDem	http://publicwhip.com/mp.php?mpid=1787
1495	Cheryl	Gillan	Con	http://publicwhip.com/mp.php?mpid=1495
1761	Linda	Gilroy	Lab	http://publicwhip.com/mp.php?mpid=1761
1419	Roger	Godsiff	Lab	http://publicwhip.com/mp.php?mpid=1419
1950	Paul	Goggins	Lab	http://publicwhip.com/mp.php?mpid=1950
1581	Julia	Goldsworthy	LDem	http://publicwhip.com/mp.php?mpid=1581
1421	Helen	Goodman	Lab	http://publicwhip.com/mp.php?mpid=1421
1948	Paul	Goodman	Con	http://publicwhip.com/mp.php?mpid=1948
1804	Robert	Goodwill	Con	http://publicwhip.com/mp.php?mpid=1804
1858	Michael	Gove	Con	http://publicwhip.com/mp.php?mpid=1858
1926	James	Gray	Con	http://publicwhip.com/mp.php?mpid=1926
1575	Chris	Grayling	Con	http://publicwhip.com/mp.php?mpid=1575
1379	Damian	Green	Con	http://publicwhip.com/mp.php?mpid=1379
1771	Justine	Greening	Con	http://publicwhip.com/mp.php?mpid=1771
1796	John	Greenway	Con	http://publicwhip.com/mp.php?mpid=1796
1394	Dominic	Grieve	Con	http://publicwhip.com/mp.php?mpid=1394
1692	Nia	Griffith	Lab	http://publicwhip.com/mp.php?mpid=1692
1980	Nigel	Griffiths	Lab	http://publicwhip.com/mp.php?mpid=1980
1807	John	Grogan	Lab	http://publicwhip.com/mp.php?mpid=1807
1852	John	Gummer	Con	http://publicwhip.com/mp.php?mpid=1852
1531	Andrew	Gwynne	Lab	http://publicwhip.com/mp.php?mpid=1531
1782	William	Hague	Con	http://publicwhip.com/mp.php?mpid=1782
1723	Peter	Hain	Lab	http://publicwhip.com/mp.php?mpid=1723
1914	Mike	Hall	Lab	http://publicwhip.com/mp.php?mpid=1914
1396	Patrick	Hall	Lab	http://publicwhip.com/mp.php?mpid=1396
2001	David	Hamilton	Lab	http://publicwhip.com/mp.php?mpid=2001
1671	Fabian	Hamilton	Lab	http://publicwhip.com/mp.php?mpid=1671
1793	Philip	Hammond	Con	http://publicwhip.com/mp.php?mpid=1793
1927	Stephen	Hammond	Con	http://publicwhip.com/mp.php?mpid=1927
1767	Mike	Hancock	LDem	http://publicwhip.com/mp.php?mpid=1767
1610	Greg	Hands	Con	http://publicwhip.com/mp.php?mpid=1610
1530	David	Hanson	Lab	http://publicwhip.com/mp.php?mpid=1530
1472	Harriet	Harman	Lab	http://publicwhip.com/mp.php?mpid=1472
1588	Mark	Harper	Con	http://publicwhip.com/mp.php?mpid=1588
1756	Evan	Harris	LDem	http://publicwhip.com/mp.php?mpid=1756
1990	Tom	Harris	Lab	http://publicwhip.com/mp.php?mpid=1990
1539	Nick	Harvey	LDem	http://publicwhip.com/mp.php?mpid=1539
1712	Dai	Havard	Lab	http://publicwhip.com/mp.php?mpid=1712
1825	John	Hayes	Con	http://publicwhip.com/mp.php?mpid=1825
1632	Oliver	Heald	Con	http://publicwhip.com/mp.php?mpid=1632
